fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
hh,	004271,汇添富民丰回报混合C,2020-04-24,1.1764,1.1764,-0.0764,0.3840,2.4293,2.1535,2.3758,5.8771,11.56,,1.1087,17.64,0.00%,http://fund.eastmoney.com/	004271.html
hh,	001289,银华汇利灵活配置混合A,2020-04-24,1.5690,1.5690,0,0.3839,1.8831,2.8852,5.0904,8.5813,15.1982,23.4461,3.3597,56.90,0.06%,http://fund.eastmoney.com/	001289.html
hh,	004270,汇添富民丰回报混合A,2020-04-24,1.1772,1.1772,-0.0849,0.3837,2.4632,2.2585,2.5704,6.3799,11.0566,,1.2297,17.72,0.12%,http://fund.eastmoney.com/	004270.html
hh,	006862,招商和悦稳健养老(FOF)C,2020-04-22,1.1112,1.1112,0.1171,0.3794,1.6279,2.0761,8.1144,,,,5.0184,11.12,0.00%,http://fund.eastmoney.com/	006862.html
hh,	270022,广发内需增长混合,2020-04-24,1.0630,1.1630,-1.0242,0.3777,10.6140,2.6062,16.0480,17.98,24.6189,17.0705,3.8086,16.3283,0.15%,http://fund.eastmoney.com/	270022.html
hh,	002503,中银腾利混合C,2020-04-24,1.0650,1.2490,0,0.3770,3.2978,2.7127,8.3311,15.0442,19.2450,25.1972,3.9832,27.3266,0.00%,http://fund.eastmoney.com/	002503.html
hh,	002502,中银腾利混合A,2020-04-24,1.0660,1.2560,0,0.3767,3.2945,2.8066,8.4279,15.1461,19.9350,25.9172,4.0783,28.1857,0.10%,http://fund.eastmoney.com/	002502.html
hh,	008886,民生卓越配置6个月混合(FOF),2020-04-23,1.0129,1.0129,-0.0197,0.3766,2.0246,,,,,,,1.29,0.06%,http://fund.eastmoney.com/	008886.html
hh,	003554,泰达宏利大数据混合C,2020-04-24,1.3368,1.3368,-0.7499,0.3754,8.5065,1.3879,9.9885,3.7405,15.0232,17.0372,2.7043,13.9836,0.00%,http://fund.eastmoney.com/	003554.html
hh,	006616,工银战略新兴产业混合C,2020-04-24,1.3921,1.3921,-0.9675,0.3749,9.2786,7.3489,24.6843,39.21,,,15.9504,39.21,0.00%,http://fund.eastmoney.com/	006616.html
hh,	487016,工银瑞信灵活配置混合A,2020-04-24,1.5321,1.8490,-0.6871,0.3734,6.6625,4.6159,18.8043,28.2307,34.4066,38.7772,11.3931,84.9026,0.12%,http://fund.eastmoney.com/	487016.html
hh,	002665,万家瑞和灵活配置混合C,2020-04-24,1.1575,1.2305,0.0951,0.3729,1.9644,3.5238,5.2273,7.5344,12.2478,20.9393,4.0262,24.2376,0.00%,http://fund.eastmoney.com/	002665.html
hh,	004618,建信鑫稳回报灵活配置混合C,2020-04-24,1.0787,1.1187,-0.4706,0.3722,5.0955,2.9196,6.6889,11.2248,11.5128,,2.9988,11.97,0.00%,http://fund.eastmoney.com/	004618.html
hh,	000878,中海医药健康产业精选混合A,2020-04-24,1.8880,2.1860,-1.5641,0.3721,7.0847,3.4451,11.1359,28.8535,41.9030,89.9298,7.6172,122.7877,0.15%,http://fund.eastmoney.com/	000878.html
hh,	008245,圆信永丰致优混合A,2020-04-24,1.0524,1.0524,-1.4238,0.3720,7.1472,4.7998,,,,,4.8729,5.24,0.15%,http://fund.eastmoney.com/	008245.html
hh,	002261,中银宝利混合A,2020-04-24,1.08,1.3480,-0.0925,0.3718,3.3493,1.9216,7.6311,15.2061,22.7649,32.6436,3.5364,39.7188,0.10%,http://fund.eastmoney.com/	002261.html
hh,	002262,中银宝利混合C,2020-04-24,1.0810,1.3430,-0.0924,0.3714,3.3461,1.9198,7.5226,15.3031,23.3403,33.1436,3.5330,39.0377,0.00%,http://fund.eastmoney.com/	002262.html
